area_type,availability,location,size,society,total_sqft,bath,room,price
Built-up Area,Rental,"Punta Pacifica, San francisco",3 BHK,PACIFIC POINT TORRE 700,4187,3,3,1100000
Built-up Area,Sale,"Punta Pacifica, San francisco",2 BHK,GRAND TOWER,1711,2,2,345000
Built-up Area,Sale,"Punta Pacifica, San francisco",4 Bedroom,TRUMP OCEAN CLUB,1647,2,2,515000
Built-up Area,Sale,"Punta Pacifica, San francisco",3 BHK,TRUMP OCEAN CLUB,1647,2,2,515000
Built-up Area,Sale,"Punta Pacifica, San francisco",2 BHK,OCEAN DRIVE,3584,3,3,575000
Built-up Area,Sale,"Punta Pacifica, San francisco",4 Bedroom,PACIFIC POINT TORRE 200,4252,3,3,1027650
Built-up Area,Rental,"Punta Pacifica, San francisco",3 BHK,TRUMP OCEAN CLUB,1647,2,2,550000
Built-up Area,Sale,"Punta Pacifica, San francisco",2 BHK,OCEAN DRIVE,2390,3,3,460000
Built-up Area,Sale,"Punta Pacifica, San francisco",4 Bedroom,PACIFIC BLUE,947,2,2,190000
Built-up Area,Rental,"Punta Pacifica, San francisco",3 BHK,ROYAL PACIFIC,1389,2,3,290000
Built-up Area,Sale,"Punta Pacifica, San francisco",2 BHK,PACIFIC POINT,4349,4,3,1095000
Built-up Area,Rental,"Punta Pacifica, San francisco",4 Bedroom,PACIFIC POINT TORRE 300,3294,3,3,1050000
Built-up Area,Sale,"Punta Pacifica, San francisco",3 BHK,OCEAN PARK TORRE 2,3014,4,4,660000
Built-up Area,Sale,"Punta Pacifica, San francisco",2 BHK,PACIFIC SKY,2368,2,2,450000
Built-up Area,Sale,"Punta Pacifica, San francisco",4 Bedroom,GRAND TOWER,2702,2,2,702975
Plot Area,Sale,"Punta Pacifica, San francisco",3 BHK,GRAND TOWER,1841,2,2,460875
Plot Area,Sale,"Punta Pacifica, San francisco",2 BHK,GRAND TOWER,1238,2,2,623600
Plot Area,Sale,"Punta Pacifica, San francisco",4 Bedroom,Q TOWER,3907,6,4,950000
Plot Area,Sale,"Punta Pacifica, San francisco",3 BHK,AQUAMARE,6566,3,3,1450000
Plot Area,Rental,"Punta Pacifica, San francisco",2 BHK,DUPONT TOWER,4758,3,3,1199000
Plot Area,Sale,"Punta Pacifica, San francisco",4 Bedroom,AQUAMARE,3832,3,3,1100000
Plot Area,Sale,"Punta Pacifica, San francisco",3 BHK,OCEAN PARK TORRE 1,4822,3,4,985000
Plot Area,Sale,Bella Vista,2 BHK,WHITE,1281,2,2,250000
Plot Area,Sale,Bella Vista,4 Bedroom,H2O,4359,3,3,589000
Plot Area,Sale,Calidonia,3 BHK,WHITE,1819,3,3,338000
Plot Area,Sale,Calidonia,2 BHK,RIVAGE,1905,2,2,390000
Plot Area,Rental,Bella Vista,4 Bedroom,WATERS ON THE BAY,1313,2,2,370000
Plot Area,Sale,Calidonia,3 BHK,BAYFRONT,1076,1,1,215000
Plot Area,Rental,Bella Vista,2 BHK,LA ENSENADA,2088,3,3,360000
Plot Area,Rental,Calidonia,4 Bedroom,RIVAGE,1819,2,2,550000
Plot Area,Sale,Bella Vista,3 BHK,MIRAMAR TORRE 2,8073,3,3,1500000
Plot Area,Sale,Calidonia,2 BHK,MIRAMAR PLAZA,6458,4,3,1500000
Plot Area,Sale,Calidonia,4 Bedroom,RIVAGE,3735,3,3,950000
Plot Area,Sale,Bella Vista,3 BHK,ARTS & YOO,3401,3,3,1080000
Plot Area,Sale,Bella Vista,2 BHK,MIRAMAR TORRE 2,4036,3,3,800000
Plot Area,Sale,Bella Vista,4 Bedroom,MIRAMAR TORRE 2,4036,3,3,900000
Plot Area,Rental,Bella Vista,3 BHK,WATERS ON THE BAY,1313,2,2,390000
Plot Area,Rental,Bella Vista,2 BHK,YOO,1938,2,2,650000
Plot Area,Sale,Calidonia,4 Bedroom,BAYFRONT TOWER,936,1,1,220000
Plot Area,Sale,Bella Vista,3 BHK,YOO,1012,1,1,295000
Plot Area,Sale,Bella Vista,2 BHK,YOO,1894,2,2,550000
Plot Area,Sale,Calidonia,4 Bedroom,YACHT CLUB,1636,2,2,420000
Plot Area,Rental,Calidonia,3 BHK,YACHT CLUB,1927,2,3,500000
Plot Area,Sale,Calidonia,2 BHK,RIVAGE,1615,2,1,360000
Plot Area,Sale,Bella Vista,4 Bedroom,WATERS ON THE BAY,2895,3,3,690000
Plot Area,Rental,Calidonia,3 BHK,WHITE,1302,1,1,280000
Plot Area,Rental,Bella Vista,2 BHK,MIRAMAR TORRE 2,4036,3,3,900000
Plot Area,Sale,Calidonia,4 Bedroom,WHITE,1281,2,2,280000
Plot Area,Sale,"Obarrio, Bella Vista",3 BHK,PH BRISAS OBARRIO,1862,3,3,240000
Plot Area,Sale,"Obarrio, Bella Vista",2 BHK,RIVER PARK,1410,2,3,240000
Plot Area,Sale,"Obarrio, Bella Vista",4 Bedroom,Vendo ganga apto amueblado Obarrio,1615,3,3,230000
Plot Area,Sale,"Obarrio, Bella Vista",3 BHK,"CASA EN OBARRIO PARA REMODELAR $ 400,000",1830,4,3,400000
Plot Area,Sale,"Obarrio, Bella Vista",2 BHK,EXCELENTE APARTAMENTO EN OBARRIO,1453,3,2,275000
Plot Area,Sale,"Obarrio, Bella Vista",4 Bedroom,PH Denovo,1184,2,2,205000
Plot Area,Sale,"Obarrio, Bella Vista",3 BHK,SOPHIA TOWER,2024,3,3,355000
Plot Area,Sale,"Obarrio, Bella Vista",2 BHK,CASA EN OBARRIO,3143,3,3,750000
Plot Area,Sale,"Obarrio, Bella Vista",4 Bedroom,SOPHIA TOWER,2024,3,3,375000
Plot Area,Rental,Bella Vista,3 BHK,THE PALM,1787,3,3,382812
Plot Area,Rental,Bella Vista,2 BHK,THE PALM,1798,3,3,383456
Plot Area,Sale,Bella Vista,4 Bedroom,RIVER PARK,1410,2,2,325000
Built-up Area,Sale,Bella Vista,3 BHK,Apartamento en Yacht Club,1787,1,1,261670
Plot Area,Sale,Bella Vista,2 BHK,ESCUCHAMOS OFERTAS ¡PRECIO NEGOCIABLE!,1163,2,2,270000
Super built-up Area,Sale,Bella Vista,4 Bedroom,THE SEAWAVES,1345,2,3,220000
Super built-up Area,Sale,Bella Vista,3 BHK,CERROMAR,3563,4,4,470000
Super built-up Area,Sale,Bella Vista,2 BHK,Apartamento en PH Marina Park,2196,3,3,390000
Built-up Area,Sale,Bella Vista,4 Bedroom,Miramar 36-B,4036,3,3,690000
Built-up Area,Sale,Bella Vista,3 BHK,SE VENDE APARTAMENTO EN PH ALLURE,3089,3,3,550000
Plot Area,Sale,Bella Vista,2 BHK,MEGAPOLIS PISO ALTO | EVALUAMOS OFERTAS,463,1,1,101000
Plot Area,Rental,Bella Vista,4 Bedroom,ph h2o on the ocean,3014,3,4,485000
Built-up Area,Sale,Bella Vista,3 BHK,Torres del Pacifico Torre B,1938,3,3,300000
Plot Area,Sale,Cinta Costera,2 BHK,NUOVO PANAMA con 4 ESTACIONAMIENTOS,1087,3,2,390000
Super built-up Area,Sale,Cinta Costera,4 Bedroom,NUOVO PANAMA con 2 ESTACIONAMIENTOS,1012,3,2,330000
Built-up Area,Sale,Bella Vista,3 BHK,Apartamento en Sale PH Rivage 29-B,1615,2,2,275000
Plot Area,Sale,Cinta Costera,2 BHK,NUOVO PANAMA A PASOS DE LA CINTA COSTERA,1012,3,2,299000
Super built-up Area,Sale,Bella Vista,4 Bedroom,ROR,2573,3,3,298000
Built-up Area,Rental,Bella Vista,3 BHK,CASA COMERCIAL EN BELLA VISTA,7750,6,6,1080000
Plot Area,Rental,Bella Vista,2 BHK,"P.H BELLA VISTA PARK,",1722,2,2,297500
Super built-up Area,Sale,Bella Vista,4 Bedroom,PH BELLA VISTA PARK,1421,2,2,290000
Built-up Area,Sale,Bella Vista,3 BHK,ROR,2454,3,3,330000
Plot Area,Sale,Bella Vista,2 BHK,ROR,2454,2,2,398000
Super built-up Area,Sale,Bella Vista,4 Bedroom,BELLE VIEW,1345,2,3,315000
Built-up Area,Rental,Bella Vista,3 BHK,Parkside Costa del Este,1033,1,1,320000
Plot Area,Sale,Costa del Este,2 BHK,MAREA II,7728,4,4,2216700
Super built-up Area,Rental,Bella Vista,4 Bedroom,COSTA SERENA,5920,5,3,1100000
Built-up Area,Sale,Costa del Este,3 BHK,Castellammare Loft,1216,2,2,280000
Plot Area,Sale,Costa del Este,2 BHK,Sol del Este,1582,3,3,260000
Super built-up Area,Sale,Costa del Este,4 Bedroom,COSTA SERENA,4521,4,4,790000
Built-up Area,Sale,Costa del Este,3 BHK,Costa Dorada #82,4090,3,3,650000
Plot Area,Sale,Costa del Este,2 BHK,"Costa del Este, COSTA SERENA",5382,3,3,1023000
Super built-up Area,Rental,Costa del Este,4 Bedroom,COSTA AZUL,2659,3,4,850000
