area_type,availability,location,size,society,total_sqft,bath,room,price
Super built-up Area,Sale,Calidonia,2 BHK,WHITE,119,2,2,250000
Built-up Area,Sale,Calidonia,4 Bedroom,H2O,405,3,3,589000
Plot Area,Sale,Calidonia,3 BHK,WHITE,169,3,3,338000
Super built-up Area,Sale,Bella Vista,2 BHK,RIVAGE,177,2,2,390000
Super built-up Area,Rental,Bella Vista,4 Bedroom,WATERS ON THE BAY,122,2,2,370000
Super built-up Area,Sale,Calidonia,3 BHK,BAYFRONT,100,1,1,215000
Super built-up Area,Rental,Calidonia,2 BHK,LA ENSENADA,194,3,3,360000
Super built-up Area,Rental,Bella Vista,4 Bedroom,RIVAGE,169,2,2,550000
Super built-up Area,Sale,Bella Vista,3 BHK,MIRAMAR TORRE 2,750,3,3,1500000
Super built-up Area,Sale,Calidonia,2 BHK,MIRAMAR PLAZA,600,4,3,1500000
Super built-up Area,Sale,Bella Vista,4 Bedroom,RIVAGE,347,3,3,950000
Super built-up Area,Sale,Bella Vista,3 BHK,ARTS & YOO,316,3,3,1080000
Super built-up Area,Sale,Bella Vista,2 BHK,MIRAMAR TORRE 2,375,3,3,800000
Super built-up Area,Sale,Bella Vista,4 Bedroom,MIRAMAR TORRE 2,375,3,3,900000
Super built-up Area,Rental,Bella Vista,3 BHK,WATERS ON THE BAY,123,2,2,390000
Super built-up Area,Rental,Bella Vista,2 BHK,YOO,180,2,2,650000
Super built-up Area,Sale,Calidonia,4 Bedroom,BAYFRONT TOWER,87,1,1,220000
Super built-up Area,Sale,Bella Vista,3 BHK,YOO,94,1,1,295000
Super built-up Area,Sale,Bella Vista,2 BHK,YOO,176,2,2,550000
Super built-up Area,Sale,Ancón,4 Bedroom,YACHT CLUB,152,2,2,420000
Super built-up Area,Rental,Ancón,3 BHK,YACHT CLUB,179,2,3,500000
Super built-up Area,Sale,Bella Vista,2 BHK,RIVAGE,150,2,1,360000
Super built-up Area,Sale,Calidonia,4 Bedroom,WATERS ON THE BAY,269,3,3,690000
Super built-up Area,Rental,Calidonia,3 BHK,WHITE,121,1,1,280000
Super built-up Area,Rental,Bella Vista,2 BHK,MIRAMAR TORRE 2,375,3,3,900000
Super built-up Area,Sale,Calidonia,4 Bedroom,WHITE,119,2,2,280000
Super built-up Area,Sale,San Francisco,3 BHK,Apartamento JW Marriott,130,1,1,395000
Super built-up Area,Sale,"Punta Pacifica, San francisco",2 BHK,OCEANAIRE,95 - 115,1,1,218000
Super built-up Area,Sale,"Punta Pacifica, San francisco",4 Bedroom,PH Oasis on the Bay,199,1,2,225000
Super built-up Area,Sale,"Punta Pacifica, San francisco",3 BHK,ROYAL PACIFIC,144,2,3,260000
Super built-up Area,Sale,"Punta Pacifica, San francisco",2 BHK,Aquamare 29-B,356,3,3,850000
Super built-up Area,Sale,"Punta Pacifica, San francisco",4 Bedroom,COURTYARD VIEW,160,2,2,225000
Super built-up Area,Sale,"Punta Pacifica, San francisco",3 BHK,AQUALINA,381,3,3,749000
Super built-up Area,Sale,"Punta Pacifica, San francisco",2 BHK,DUPONT TOWER,250,2,2,420000
Super built-up Area,Rental,"Punta Pacifica, San francisco",4 Bedroom,MYSTIC POINT,217,3,3,450000
Super built-up Area,Rental,"Punta Pacifica, San francisco",3 BHK,MYSTIC POINT T100,180,3,3,315000
Super built-up Area,Sale,"Punta Pacifica, San francisco",2 BHK,Punta Roca,526,4,4,1000000
Super built-up Area,Sale,"Punta Pacifica, San francisco",4 Bedroom,COSTA PACIFICA T100,242,2,2,290000
Super built-up Area,Sale,"Punta Pacifica, San francisco",3 BHK,OASIS,99,1,2,210000
